PLAYER,TM,POS,GP,GS,MIN,FG,FGA,X3P,X3PA,FT,FTA,OR,DR,TR,AST,STL,TO,Blk,PF,PTS
Darius Morris,LAL,PG,48,17,687,73,188,24,66,24,37,24,33,57,76,21,45,2,58,194
Darko Milicic,BOS,C,1,0,5,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0
Darrell Arthur,MEM,PF,58,3,963,162,357,5,18,33,46,66,100,166,33,24,44,33,124,362
Darren Collison,DAL,PG,80,47,2345,334,714,48,134,238,271,31,186,217,406,100,172,7,136,954
David Lee,GSW,PF,78,78,2862,592,1142,0,4,253,318,213,658,871,277,67,206,22,243,1437
David West,IND,PF,73,73,2432,502,1010,4,19,239,311,144,423,567,211,72,157,68,152,1247
DeAndre Jordan,LAC,C,82,82,2006,314,488,0,0,96,249,210,384,594,28,48,100,112,192,724
DeAndre Liggins,OKC,SG,38,1,288,21,47,7,19,9,18,13,39,52,15,18,14,3,32,58
DeJuan Blair,SAS,C,62,16,877,146,279,0,1,47,73,68,169,237,47,38,50,11,115,339
DeMar DeRozan,TOR,SG,82,82,3005,542,1222,34,119,354,426,48,270,318,203,76,152,24,170,1472
DeMarcus Cousins,SAC,C,74,74,2280,480,1031,4,23,310,421,221,523,744,199,108,224,55,267,1274
DeMarre Carroll,UTH,SF,65,12,1084,147,319,19,68,74,96,86,99,185,58,55,33,23,116,387
DeQuan Jones,ORL,SF,62,17,767,92,207,8,32,31,47,17,86,103,16,19,29,21,52,223
Derek Fisher,DAL,PG,9,9,228,23,65,10,23,21,23,0,15,15,33,5,18,2,24,77
Derek Fisher,OKC,PG,23,0,338,32,96,20,57,12,13,2,20,22,16,14,12,1,30,96
Deron Williams,BKN,PG,79,79,2878,506,1142,171,454,325,377,29,205,234,610,75,221,30,196,1508
Derrick Favors,UTH,PF,76,8,1762,269,559,0,5,179,260,183,353,536,75,66,128,124,243,717
Derrick Williams,MIN,PF,78,56,1914,343,791,66,197,186,266,94,333,427,47,44,100,37,131,938
DeSagana Diop,CHA,C,22,1,226,8,27,0,1,0,1,10,41,51,13,5,8,16,19,16
DeShawn Stevenson,ATL,SF,55,30,1136,97,260,76,209,12,23,17,103,120,49,29,22,6,67,282
Devin Ebanks,LAL,SF,19,3,195,24,73,6,22,11,14,10,31,41,10,3,11,1,23,65
Devin Harris,ATL,PG,58,34,1420,194,443,77,230,112,154,6,110,116,197,64,88,13,103,577
Dexter Pittman,MEM,C,7,0,19,1,6,0,0,0,3,3,2,5,0,0,1,0,4,2
Dexter Pittman,MIA,C,4,0,12,3,5,0,0,0,0,4,3,7,0,0,2,0,4,6
Diante Garrett,PHO,PG,19,0,149,16,49,3,15,5,10,5,10,15,31,10,16,0,5,40
Dion Waiters,CLE,SG,61,48,1757,336,815,63,203,159,213,22,126,148,183,59,121,16,113,894
Dirk Nowitzki,DAL,PF,52,46,1633,337,714,64,153,163,190,37,320,357,130,36,70,35,91,901
Dominic McGuire,IND,SF,2,1,13,0,3,0,0,0,2,1,1,2,1,0,0,0,0,0
Dominic McGuire,NOR,SF,9,0,145,9,21,0,0,1,2,7,21,28,9,8,5,3,13,19
Dominic McGuire,TOR,SF,15,9,230,15,32,0,0,2,6,11,37,48,10,5,7,8,26,32
Dominique Jones,DAL,SG,29,3,338,40,109,1,9,35,53,18,27,45,83,14,38,2,29,116
Donald Sloan,CLE,PG,20,0,257,27,78,7,19,20,25,3,25,28,37,5,13,0,17,81
Donald Sloan,NOR,PG,3,0,6,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Donatas Motiejunas,HOU,PF,44,14,528,98,209,24,82,32,51,33,56,89,28,6,41,12,73,252
Dorell Wright,PHI,SF,80,8,1812,240,610,136,368,123,145,45,265,310,150,62,64,34,101,739
Doron Lamb,MIL,SG,23,0,280,33,95,4,16,8,15,3,14,17,20,7,16,0,27,78
Doron Lamb,ORL,SG,23,0,269,26,63,10,21,11,16,5,23,28,11,5,10,0,23,73
Draymond Green,GSW,SF,78,1,1056,84,257,14,67,45,55,58,202,260,53,42,50,25,159,227
Drew Gooden,MIL,PF,17,0,153,20,63,1,5,12,18,13,18,31,6,5,9,7,22,53
Dwight Howard,LAL,C,75,75,2681,467,806,1,6,352,715,250,685,935,106,83,221,185,286,1287
Dwyane Wade,MIA,SG,69,69,2390,569,1093,17,66,308,424,86,258,344,353,128,194,56,140,1463
E'Twaun Moore,ORL,SG,74,21,1668,236,592,67,196,45,57,47,118,165,201,51,104,23,121,584
Earl Barron,NYK,C,1,1,37,5,14,0,0,1,2,6,12,18,2,0,1,1,1,11
Earl Barron,WAS,C,11,1,122,13,37,0,0,2,5,16,27,43,3,5,10,5,23,28
Earl Clark,LAL,SF,58,36,1326,165,378,34,101,51,74,80,240,320,65,35,60,43,101,415
Earl Watson,UTH,PG,48,4,827,37,120,5,28,17,25,23,64,87,191,40,69,8,94,96
Ed Davis,MEM,PF,35,4,528,73,141,0,0,36,63,56,101,157,8,12,18,47,78,182
Ed Davis,TOR,PF,45,24,1087,186,339,0,0,66,102,95,205,300,55,25,45,38,111,438
Eddy Curry,DAL,C,2,0,25,4,8,0,0,1,4,2,2,4,0,0,3,0,7,9
Ekpe Udoh,MIL,PF,75,9,1294,115,266,0,1,89,119,113,135,248,43,39,43,84,138,319
Elton Brand,DAL,PF,72,18,1530,226,478,0,1,66,93,130,300,430,70,51,57,92,192,518
Emeka Okafor,WAS,C,80,78,2081,331,700,0,0,111,193,201,500,701,95,45,108,77,149,773
Enes Kanter,UTH,C,70,2,1079,207,380,1,1,93,117,135,169,304,31,28,101,33,116,508
Eric Bledsoe,LAC,PG,76,12,1554,253,568,31,78,106,134,78,147,225,233,109,137,55,112,643
Eric Gordon,MIA,SG,1,1,30,3,11,1,6,10,10,0,2,2,2,2,5,0,3,17
Eric Gordon,NOR,SG,40,38,1219,230,570,54,165,175,210,10,64,74,133,43,109,8,71,689
Eric Maynor,OKC,PG,37,0,392,36,115,15,46,17,21,5,13,18,73,10,31,0,19,104
Eric Maynor,POR,PG,26,0,555,70,162,19,48,25,38,4,23,27,108,11,45,1,35,184
Ersan Ilyasova,MIL,SF,73,54,2005,372,804,94,215,126,159,155,366,521,117,68,73,37,185,964
Evan Fournier,DEN,SG,39,4,451,82,166,25,60,30,39,6,32,38,49,22,34,1,70,219
Evan Turner,PHI,SF,82,82,2892,438,1049,55,157,153,208,57,453,510,357,70,185,17,196,1084
Fab Melo,BOS,C,6,0,36,3,6,0,0,1,4,0,3,3,0,2,1,2,7,7
Festus Ezeli,GSW,C,77,41,1118,73,168,0,0,43,81,141,171,312,22,23,63,74,157,189
Francisco Garcia,HOU,SG,18,5,320,41,95,28,71,6,7,1,22,23,21,11,11,7,22,116
Francisco Garcia,SAC,SG,40,15,710,77,205,40,109,12,14,7,61,68,43,32,20,31,66,206
Garrett Temple,WAS,SG,52,37,1188,108,262,28,83,26,37,29,99,128,115,51,61,18,97,270
Gary Neal,SAS,PG,69,17,1499,247,601,89,254,64,74,13,132,145,130,30,69,2,94,647
George Hill,IND,PG,76,76,2614,386,870,129,349,176,216,49,239,288,355,83,117,26,134,1077
Gerald Green,IND,SF,60,7,1090,160,433,60,192,50,63,31,110,141,49,18,51,23,63,430
Gerald Henderson,CHA,SG,68,58,2133,388,851,33,100,257,313,55,195,250,179,68,107,34,152,1066
Gerald Wallace,BKN,SF,70,69,2109,182,458,46,163,122,192,69,251,320,186,97,111,47,120,532
Glen Davis,ORL,PF,34,33,1065,214,478,0,2,84,117,55,191,246,71,32,64,21,88,512
Goran Dragic,PHO,PG,76,76,2539,390,893,85,272,237,319,60,176,236,566,123,207,26,213,1102
Gordon Hayward,UTH,SG,71,26,2077,327,755,97,236,243,292,51,172,223,212,57,120,38,123,994
Grant Hill,LAC,SF,29,0,435,38,99,3,11,14,24,6,43,49,26,11,25,6,39,93
Greg Monroe,DET,C,82,82,2718,521,1071,0,5,272,394,239,544,783,281,107,238,56,194,1314
Greg Smith,HOU,PF,70,10,1098,167,274,0,1,74,120,112,208,320,25,18,42,40,172,408
Greg Stiemsma,MIN,C,76,19,1217,127,280,0,0,55,71,65,199,264,31,44,59,91,187,309
Greivis Vasquez,NOR,PG,77,77,2648,430,1000,82,241,122,151,43,289,332,696,66,242,6,187,1064
Gustavo Ayon,MIL,PF,13,0,182,27,47,0,0,1,14,23,43,66,13,9,13,4,27,55
Gustavo Ayon,ORL,PF,43,3,572,67,125,0,0,19,38,40,100,140,59,13,38,13,83,153
Hakim Warrick,CHA,PF,27,14,482,66,163,0,3,58,86,21,68,89,25,12,29,6,37,190
Hakim Warrick,NOR,PF,1,0,7,1,2,0,0,2,2,0,0,0,0,1,0,0,0,4
Hamed Haddadi,MEM,C,13,0,88,7,21,0,0,1,2,10,14,24,4,1,4,6,15,15
Hamed Haddadi,PHO,C,17,0,233,28,61,0,0,13,25,33,54,87,8,5,27,21,45,69
Harrison Barnes,GSW,SF,80,80,2035,272,619,51,144,142,188,53,277,330,98,51,99,14,139,737
Hasheem Thabeet,OKC,C,65,4,757,64,106,0,0,31,51,69,121,190,10,30,39,59,145,159
Hedo Turkoglu,ORL,SF,11,1,189,14,53,1,24,3,6,4,22,26,23,7,12,1,11,32
Henry Sims,NOR,C,2,0,5,2,3,0,0,0,0,2,0,2,0,0,1,0,1,4
Ian Mahinmi,IND,C,80,2,1320,148,330,0,2,104,171,115,199,314,28,39,92,65,202,400
Iman Shumpert,NYK,SF,44,44,977,109,268,51,124,36,47,31,102,133,75,43,37,6,97,305
Isaiah Thomas,SAC,PG,78,61,2086,357,812,115,314,242,275,27,131,158,315,66,139,3,164,1071
Ish Smith,MIL,PG,16,0,141,18,45,4,10,0,0,1,15,16,31,8,10,3,13,40
Ish Smith,ORL,PG,25,3,250,34,86,4,12,3,7,8,21,29,40,9,18,5,8,75
Ishmael Smith,ORL,PG,11,0,127,5,29,0,4,0,0,3,14,17,18,4,9,1,6,10
Ivan Johnson,ATL,PF,69,6,1038,185,359,1,14,78,125,78,185,263,46,59,73,15,133,449
J.J. Barea,MIN,PG,49,0,1129,225,524,73,202,58,79,17,105,122,184,19,98,1,88,581
J.J. Hickson,POR,C,79,79,2299,413,735,0,2,181,267,263,557,820,88,47,145,51,159,1007
J.J. Redick,MIL,SG,28,2,799,118,293,43,146,55,59,8,40,48,75,9,32,5,47,334
J.J. Redick,ORL,SG,50,11,1575,262,582,117,300,115,129,9,110,119,220,29,105,5,70,756
J.R. Smith,NYK,SG,79,0,2644,516,1227,150,425,234,307,63,352,415,215,98,134,24,226,1416
Jae Crowder,DAL,SF,77,16,1336,141,364,63,191,47,73,35,150,185,93,62,48,17,125,392
